question,answer,category,confidence
What do my assessment results mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
What do my evaluation results mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
What do my test results mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
What do my assessment scores mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
What do my assessment outcomes mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
Can you tell me what do my assessment results mean?,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
What do my assessment results mean,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
Tell me about what do my assessment results mean,"Your assessment measures digital addiction risk (0-100%). Based on psychological factors (depression, anxiety, stress, self-esteem) and behavioral factors (screen time, app usage).",assessment,0.95
How is my risk score calculated?,"Risk score = Psychological factors (60%) + Behavioral factors (40%). Psychological includes depression, anxiety, stress levels. Behavioral includes screen time, app usage, data consumption.",assessment,0.9
What is the best way to is my risk score calculated?,"Risk score = Psychological factors (60%) + Behavioral factors (40%). Psychological includes depression, anxiety, stress levels. Behavioral includes screen time, app usage, data consumption.",assessment,0.9
Can you explain how to is my risk score calculated?,"Risk score = Psychological factors (60%) + Behavioral factors (40%). Psychological includes depression, anxiety, stress levels. Behavioral includes screen time, app usage, data consumption.",assessment,0.9
How is my risk score calculated,"Risk score = Psychological factors (60%) + Behavioral factors (40%). Psychological includes depression, anxiety, stress levels. Behavioral includes screen time, app usage, data consumption.",assessment,0.9
What does moderate addiction mean?,"Moderate addiction (34-66% score): Early warning stage. Shows emerging dependency but still manageable. Recommendations: Set boundaries, track usage, practice mindfulness.",assessment,0.88
Can you tell me what does moderate addiction mean?,"Moderate addiction (34-66% score): Early warning stage. Shows emerging dependency but still manageable. Recommendations: Set boundaries, track usage, practice mindfulness.",assessment,0.88
Explain what moderate addiction mean?,"Moderate addiction (34-66% score): Early warning stage. Shows emerging dependency but still manageable. Recommendations: Set boundaries, track usage, practice mindfulness.",assessment,0.88
What does moderate addiction mean,"Moderate addiction (34-66% score): Early warning stage. Shows emerging dependency but still manageable. Recommendations: Set boundaries, track usage, practice mindfulness.",assessment,0.88
How to reduce screen time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to lower screen time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to decrease screen time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
