question,answer,category,confidence,language,tags,context_variables
Que signifient mes résultats d'évaluation?,"Votre évaluation mesure le risque de dépendance numérique sur une échelle de 0 à 100%. Elle combine les facteurs psychologiques (dépression, anxiété, stress, estime de soi) avec les facteurs comportementaux (temps d'écran, utilisation des applications, consommation de données). Scores: 🔵 Normal (0-33%), 🟡 Modéré (34-66%), 🔴 Dépendant (67-100%).",assessment,0.95,fr,"résultats,score,interprétation","risk_score,addiction_level"
Comment réduire le temps d'écran?,"Réduction du temps d'écran: 1. Limites quotidiennes (2-3 heures max). 2. Mode niveaux de gris (réduit l'engagement). 3. Heures sans technologie (repas, coucher). 4. Bloqueurs d'applications (Freedom, Cold Turkey). 5. Technique Pomodoro (25 min travail, 5 min pause). 6. Loisirs hors ligne.",screentime,0.94,fr,"réduction,conseils,gestion","screen_time,app_usage"
Gestion du stress numérique?,"Gestion du stress: 1. Méditation pleine conscience (Headspace, Calm). 2. Sabbats numériques (pause de 24h hebdomadaire). 3. Gestion des notifications (désactiver non essentielles). 4. Exercices respiratoires (technique 4-7-8). 5. Activité physique (30 min quotidiennes). 6. Journal des expériences numériques.",stress,0.93,fr,"anxiété,relaxation,coping",stress_level
Qu'est-ce qu'une détox numérique?,"Détox numérique = période intentionnelle sans appareils numériques. Avantages: Anxiété réduite, meilleur sommeil, concentration améliorée. Méthodes: 1. Détox weekend (vendredi soir à dimanche). 2. Coucher numérique quotidien (à partir de 18h). 3. Jeûne réseaux sociaux (1 semaine). 4. Vacances sans appareils.",detox,0.92,fr,"nettoyage,pause,réinitialiser","screen_time,app_usage"
Prédictions futures explication?,"Les prédictions futures prévoient la tendance de votre risque de dépendance numérique utilisant l'apprentissage automatique. Basées sur les données historiques d'évaluation, elles prédisent si votre risque est: 📈 Augmentant (agir), ➡️ Stable (maintenir), 📉 Diminuant (continuer améliorations). Précision améliore avec plus de données.",prediction,0.94,fr,"prévision,tendance,ml","risk_score,history_count"
Applications recommandées pour le bien-être?,Applications recommandées: 1. Forest 🌲 (concentration ludique). 2. Moment/Temps d'écran 📊 (suivi détaillé). 3. Headspace 🧠 (méditation débutants). 4. Calm 🌊 (histoires de sommeil). 5. Freedom 🚫 (blocage sites). 6. Sleep Cycle (suivi sommeil). 7. Habitica (gamification habitudes).,wellness,0.88,fr,"applications,outils,recommandations",app_usage
Sommeil et technologie saine?,"Hygiène sommeil avec tech: 1. Pas d'écrans 1h avant coucher. 2. Mode nuit/filtres lumière bleue. 3. Charger téléphone hors chambre. 4. Programmer Ne Pas Déranger. 5. Applications suivi sommeil (Sleep Cycle, Pillow). 6. Horaire sommeil régulier. 7. Éviter emails travail avant coucher.",sleep,0.9,fr,"repos,hygiène,meilleur_sommeil",sleep_quality
Utilisation saine réseaux sociaux?,Santé réseaux sociaux: 1. Limites 30 min/jour. 2. Curer fil (désabonner comptes négatifs). 3. Désactiver notifications. 4. Pas de défilement avant coucher. 5. Engagement significatif (commenter vs passif). 6. Sabbat réseaux sociaux hebdomadaire. 7. Suivi pour identifier applications problématiques.,social_media,0.87,fr,"facebook,instagram,twitter",app_usage
Évaluation vocale comment ça marche?,"Évaluation vocale utilise reconnaissance vocale pour collecter données psychologiques via 7 questions: dépression, anxiété, stress, estime de soi, utilisation applications, temps d'écran, âge. Avantages: Mains libres, interaction naturelle, accessibilité. Résultats traités similaires à évaluation manuelle.",voice,0.93,fr,"voix,microphone,interactif",voice_enabled
Recommandations personnalisées disponibles?,"Recommandations personnalisées basées sur: 1. Votre score risque et niveau. 2. Facteurs spécifiques élevés (ex: temps d'écran élevé). 3. Tendances historiques. 4. Considérations groupe d'âge. 5. Modèles comportementaux. Catégories: Limites temps d'écran, réduction stress, gestion applications, planification détox numérique.",recommendation,0.92,fr,"conseils,astuces,personnalisé","risk_score,addiction_level"
